workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,practice
TBuPGpfu,36818z1kw6qmfrfyj2vkz259guma30,39dd6s19jtosdh1xbgxho6w60uhze4,TBuPGpfu,2020-0188,2020-05-08,09:36:33,09:55:33,NA,incomplete,217,shape,0,right,Green_Triangle_Dots_1.jpg,Purple_Star_Stripes_1.jpg,Blue_Triangle_Chess_4.jpg,right,729.0000000502914,true,high,false
TBuPGpfu,36818z1kw6qmfrfyj2vkz259guma30,39dd6s19jtosdh1xbgxho6w60uhze4,TBuPGpfu,2020-0188,2020-05-08,09:36:33,09:55:33,NA,incomplete,218,shape,1,left,Red_Triangle_Dots_4.jpg,Purple_Triangle_Grid_1.jpg,Blue_Star_Chess_4.jpg,right,723.000000230968,false,high,false
TBuPGpfu,36818z1kw6qmfrfyj2vkz259guma30,39dd6s19jtosdh1xbgxho6w60uhze4,TBuPGpfu,2020-0188,2020-05-08,09:36:33,09:55:33,NA,incomplete,219,shape,1,left,Blue_Plus_Stripes_4.jpg,Red_Plus_Grid_2.jpg,Green_Triangle_Dots_4.jpg,left,736.9999999646097,true,high,false
TBuPGpfu,36818z1kw6qmfrfyj2vkz259guma30,39dd6s19jtosdh1xbgxho6w60uhze4,TBuPGpfu,2020-0188,2020-05-08,09:36:33,09:55:33,NA,incomplete,220,number,0,right,Purple_Star_Dots_1.jpg,Blue_Star_Grid_2.jpg,Red_Circle_Chess_1.jpg,left,658.0000000540167,false,high,false
TBuPGpfu,36818z1kw6qmfrfyj2vkz259guma30,39dd6s19jtosdh1xbgxho6w60uhze4,TBuPGpfu,2020-0188,2020-05-08,09:36:33,09:55:33,NA,incomplete,221,number,1,left,Green_Plus_Dots_4.jpg,Purple_Circle_Stripes_4.jpg,Red_Plus_Chess_1.jpg,right,780.0000000279397,false,high,false
TBuPGpfu,36818z1kw6qmfrfyj2vkz259guma30,39dd6s19jtosdh1xbgxho6w60uhze4,TBuPGpfu,2020-0188,2020-05-08,09:36:33,09:55:33,NA,incomplete,222,number,0,left,Purple_Circle_Chess_1.jpg,Blue_Star_Dots_1.jpg,Red_Circle_Stripes_4.jpg,left,756.9999999832362,true,high,false
TBuPGpfu,36818z1kw6qmfrfyj2vkz259guma30,39dd6s19jtosdh1xbgxho6w60uhze4,TBuPGpfu,2020-0188,2020-05-08,09:36:33,09:55:33,NA,incomplete,223,number,1,left,Green_Plus_Stripes_1.jpg,Red_Circle_Dots_1.jpg,Blue_Plus_Grid_3.jpg,right,695.0000000651926,false,high,false
TBuPGpfu,36818z1kw6qmfrfyj2vkz259guma30,39dd6s19jtosdh1xbgxho6w60uhze4,TBuPGpfu,2020-0188,2020-05-08,09:36:33,09:55:33,NA,incomplete,224,number,1,right,Green_Circle_Grid_1.jpg,Red_Circle_Chess_3.jpg,Purple_Plus_Dots_1.jpg,right,683.0000001937151,true,high,false
TBuPGpfu,36818z1kw6qmfrfyj2vkz259guma30,39dd6s19jtosdh1xbgxho6w60uhze4,TBuPGpfu,2020-0188,2020-05-08,09:36:33,09:55:33,NA,incomplete,225,number,0,left,Green_Plus_Dots_2.jpg,Red_Triangle_Stripes_2.jpg,Blue_Plus_Chess_3.jpg,left,640.0000001303852,true,high,false
TBuPGpfu,36818z1kw6qmfrfyj2vkz259guma30,39dd6s19jtosdh1xbgxho6w60uhze4,TBuPGpfu,2020-0188,2020-05-08,09:36:33,09:55:33,NA,incomplete,226,number,1,right,Red_Star_Chess_1.jpg,Blue_Star_Grid_3.jpg,Green_Triangle_Stripes_1.jpg,right,769.0000000875443,true,high,false
