workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,age,race,gender,ethnicity,color,vision,neuro,practice
mTbKWGVi,3en4yvuovf59wipgxxflzhxwdchjxp,3lep4mgt3kdr3dkh976uw67i8e3dbp,mTbKWGVi,2020-0188,2020-05-08,11:06:14,11:23:17,NA,incomplete,75,filling,0,left,Purple_Star_Stripes_4.jpg,Red_Plus_Stripes_1.jpg,Green_Star_Chess_3.jpg,right,734,false,high,NA,NA,NA,NA,NA,NA,NA,false
mTbKWGVi,3en4yvuovf59wipgxxflzhxwdchjxp,3lep4mgt3kdr3dkh976uw67i8e3dbp,mTbKWGVi,2020-0188,2020-05-08,11:06:14,11:23:17,NA,incomplete,76,filling,1,left,Red_Triangle_Stripes_1.jpg,Green_Plus_Stripes_2.jpg,Blue_Triangle_Dots_4.jpg,right,642,false,high,NA,NA,NA,NA,NA,NA,NA,false
mTbKWGVi,3en4yvuovf59wipgxxflzhxwdchjxp,3lep4mgt3kdr3dkh976uw67i8e3dbp,mTbKWGVi,2020-0188,2020-05-08,11:06:14,11:23:17,NA,incomplete,77,filling,1,left,Red_Circle_Grid_1.jpg,Purple_Triangle_Grid_4.jpg,Blue_Circle_Dots_2.jpg,left,728,true,high,NA,NA,NA,NA,NA,NA,NA,false
mTbKWGVi,3en4yvuovf59wipgxxflzhxwdchjxp,3lep4mgt3kdr3dkh976uw67i8e3dbp,mTbKWGVi,2020-0188,2020-05-08,11:06:14,11:23:17,NA,incomplete,78,filling,1,left,Green_Plus_Stripes_1.jpg,Blue_Star_Stripes_2.jpg,Purple_Plus_Dots_3.jpg,left,851,true,high,NA,NA,NA,NA,NA,NA,NA,false
mTbKWGVi,3en4yvuovf59wipgxxflzhxwdchjxp,3lep4mgt3kdr3dkh976uw67i8e3dbp,mTbKWGVi,2020-0188,2020-05-08,11:06:14,11:23:17,NA,incomplete,79,filling,0,right,Blue_Star_Grid_3.jpg,Red_Star_Dots_1.jpg,Green_Plus_Grid_4.jpg,right,973,true,high,NA,NA,NA,NA,NA,NA,NA,false
mTbKWGVi,3en4yvuovf59wipgxxflzhxwdchjxp,3lep4mgt3kdr3dkh976uw67i8e3dbp,mTbKWGVi,2020-0188,2020-05-08,11:06:14,11:23:17,NA,incomplete,80,shape,1,left,Purple_Triangle_Dots_1.jpg,Green_Triangle_Grid_3.jpg,Red_Plus_Dots_4.jpg,right,915,false,high,NA,NA,NA,NA,NA,NA,NA,false
mTbKWGVi,3en4yvuovf59wipgxxflzhxwdchjxp,3lep4mgt3kdr3dkh976uw67i8e3dbp,mTbKWGVi,2020-0188,2020-05-08,11:06:14,11:23:17,NA,incomplete,81,shape,0,left,Red_Triangle_Chess_4.jpg,Purple_Triangle_Grid_3.jpg,Blue_Star_Chess_2.jpg,left,783,true,high,NA,NA,NA,NA,NA,NA,NA,false
mTbKWGVi,3en4yvuovf59wipgxxflzhxwdchjxp,3lep4mgt3kdr3dkh976uw67i8e3dbp,mTbKWGVi,2020-0188,2020-05-08,11:06:14,11:23:17,NA,incomplete,82,shape,1,right,Green_Star_Grid_2.jpg,Red_Triangle_Grid_3.jpg,Purple_Star_Stripes_4.jpg,left,915,false,high,NA,NA,NA,NA,NA,NA,NA,false
mTbKWGVi,3en4yvuovf59wipgxxflzhxwdchjxp,3lep4mgt3kdr3dkh976uw67i8e3dbp,mTbKWGVi,2020-0188,2020-05-08,11:06:14,11:23:17,NA,incomplete,83,shape,0,right,Purple_Triangle_Stripes_2.jpg,Green_Circle_Stripes_3.jpg,Blue_Triangle_Dots_1.jpg,left,762,false,high,NA,NA,NA,NA,NA,NA,NA,false
mTbKWGVi,3en4yvuovf59wipgxxflzhxwdchjxp,3lep4mgt3kdr3dkh976uw67i8e3dbp,mTbKWGVi,2020-0188,2020-05-08,11:06:14,11:23:17,NA,incomplete,84,shape,1,right,Red_Plus_Dots_3.jpg,Blue_Triangle_Dots_4.jpg,Green_Plus_Chess_2.jpg,right,883,true,high,NA,NA,NA,NA,NA,NA,NA,false
