workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,age,race,gender,ethnicity,color,vision,neuro,practice
lObkxNOc,3j6bhnx0vc5zv8hudcso2u6bq3dnka,339ansotr9f94r4x7ykym66lq3xikc,lObkxNOc,2020-0188,2020-05-21,14:48:47,15:09:24,NA,incomplete,171,number,0,left,Green_Plus_Dots_4.jpg,Red_Triangle_Grid_4.jpg,Blue_Plus_Chess_2.jpg,left,685.9249998815358,true,low,NA,NA,NA,NA,NA,NA,NA,false
lObkxNOc,3j6bhnx0vc5zv8hudcso2u6bq3dnka,339ansotr9f94r4x7ykym66lq3xikc,lObkxNOc,2020-0188,2020-05-21,14:48:47,15:09:24,NA,incomplete,172,number,1,right,Blue_Plus_Chess_2.jpg,Green_Plus_Dots_4.jpg,Red_Circle_Grid_2.jpg,right,816.1100000143051,true,low,NA,NA,NA,NA,NA,NA,NA,false
lObkxNOc,3j6bhnx0vc5zv8hudcso2u6bq3dnka,339ansotr9f94r4x7ykym66lq3xikc,lObkxNOc,2020-0188,2020-05-21,14:48:47,15:09:24,NA,incomplete,173,number,1,left,Purple_Plus_Stripes_2.jpg,Red_Star_Grid_2.jpg,Green_Plus_Chess_3.jpg,left,772.0799997914582,true,low,NA,NA,NA,NA,NA,NA,NA,false
lObkxNOc,3j6bhnx0vc5zv8hudcso2u6bq3dnka,339ansotr9f94r4x7ykym66lq3xikc,lObkxNOc,2020-0188,2020-05-21,14:48:47,15:09:24,NA,incomplete,174,number,1,left,Blue_Triangle_Dots_2.jpg,Green_Star_Stripes_2.jpg,Purple_Triangle_Grid_4.jpg,left,618.0249999742955,true,low,NA,NA,NA,NA,NA,NA,NA,false
lObkxNOc,3j6bhnx0vc5zv8hudcso2u6bq3dnka,339ansotr9f94r4x7ykym66lq3xikc,lObkxNOc,2020-0188,2020-05-21,14:48:47,15:09:24,NA,incomplete,175,number,0,right,Blue_Circle_Chess_4.jpg,Red_Circle_Grid_1.jpg,Green_Star_Stripes_4.jpg,right,613.6050000786781,true,low,NA,NA,NA,NA,NA,NA,NA,false
lObkxNOc,3j6bhnx0vc5zv8hudcso2u6bq3dnka,339ansotr9f94r4x7ykym66lq3xikc,lObkxNOc,2020-0188,2020-05-21,14:48:47,15:09:24,NA,incomplete,176,number,1,left,Purple_Star_Dots_4.jpg,Red_Circle_Grid_4.jpg,Blue_Star_Stripes_3.jpg,left,498.8750000484288,true,low,NA,NA,NA,NA,NA,NA,NA,false
lObkxNOc,3j6bhnx0vc5zv8hudcso2u6bq3dnka,339ansotr9f94r4x7ykym66lq3xikc,lObkxNOc,2020-0188,2020-05-21,14:48:47,15:09:24,NA,incomplete,177,number,1,right,Blue_Plus_Chess_1.jpg,Red_Plus_Dots_4.jpg,Green_Triangle_Stripes_1.jpg,right,596.4299999177456,true,low,NA,NA,NA,NA,NA,NA,NA,false
lObkxNOc,3j6bhnx0vc5zv8hudcso2u6bq3dnka,339ansotr9f94r4x7ykym66lq3xikc,lObkxNOc,2020-0188,2020-05-21,14:48:47,15:09:24,NA,incomplete,178,number,0,left,Red_Triangle_Grid_4.jpg,Purple_Circle_Chess_4.jpg,Green_Triangle_Dots_1.jpg,left,456.6900001373142,true,low,NA,NA,NA,NA,NA,NA,NA,false
lObkxNOc,3j6bhnx0vc5zv8hudcso2u6bq3dnka,339ansotr9f94r4x7ykym66lq3xikc,lObkxNOc,2020-0188,2020-05-21,14:48:47,15:09:24,NA,incomplete,179,number,1,right,Blue_Plus_Stripes_3.jpg,Red_Plus_Chess_4.jpg,Purple_Star_Dots_3.jpg,right,859.1299999970943,true,low,NA,NA,NA,NA,NA,NA,NA,false
lObkxNOc,3j6bhnx0vc5zv8hudcso2u6bq3dnka,339ansotr9f94r4x7ykym66lq3xikc,lObkxNOc,2020-0188,2020-05-21,14:48:47,15:09:24,NA,incomplete,180,shape,1,left,Blue_Plus_Stripes_3.jpg,Red_Plus_Grid_2.jpg,Purple_Triangle_Dots_3.jpg,right,814.6450000349432,false,low,NA,NA,NA,NA,NA,NA,NA,false
